Modelo;Arquivo_Origem;Parametro;Formula
0200;0200_Corrections_Parameters.htm;C90X;C90x(d(),fd(),DT)
0200;0200_Corrections_Parameters.htm;C90Y;C90y(d(),fd(),DT)
0200;0200_Corrections_Parameters.htm;HC90X;HC90x(d(), fd(), DT)
0200;0200_Corrections_Parameters.htm;GLC;GlueCorr(d())
0200;0200_Corrections_Parameters.htm;LPC;LPCorr(d())
0200;0200_Flaps_Parameters.htm;FH;(W+Wlc)/2+C90X
0200;0200_Flaps_Parameters.htm;CT1;2
0200;0200_Flaps_Parameters.htm;DxTB1;2
0200;0200_Flaps_Parameters.htm;FH1;FH+UL*LSC
0200;0200_Flaps_Parameters.htm;CT2;3
0200;0200_Flaps_Parameters.htm;DxTB;5
0200;0200_Flaps_Parameters.htm;DxTB2;3
0200;0200_Glue_Flap_Parameters.htm;GL;GLWidth(d())
0200;0200_Glue_Flap_Parameters.htm;GLA;65
0200;0200_Glue_Flap_Parameters.htm;GLA1;90
0200;0200_Layers_Parameters.htm;HILN;0
0200;0200_Layers_Parameters.htm;HOLN;switch(UL, No, 0, Yes, 1)
0200;0200_Layers_Parameters.htm;WILN;0
0200;0200_Layers_Parameters.htm;WOLN;0
0200;0200_Layers_Parameters.htm;LILN;0
0200;0200_Layers_Parameters.htm;LOLN;0
0200;0200_Layers_Parameters.htm;LSC;LSCf(d())
0200;0200_Layers_Parameters.htm;Wlc;LC(d(),DT,WILN,WOLN)
0200;0200_Layers_Parameters.htm;Llc;LC(d(),DT,LILN,LOLN)
0200;0200_Layers_Parameters.htm;Hlc;LC(d(),DT,HILN,HOLN)
0200;0200_Main_Parameters.htm;L;280
0200;0200_Main_Parameters.htm;W;200
0200;0200_Main_Parameters.htm;H;150
0200;0200_Main_Parameters.htm;DT;dtID
0200;0200_Main_Parameters.htm;UL;No
0200;0200_Score-to-Score_Parameters.htm;Lss1;L+Llc+2*C90Y-GLC
0200;0200_Score-to-Score_Parameters.htm;Wss;W+2*C90Y
0200;0200_Score-to-Score_Parameters.htm;Lss;L+2*C90Y
0200;0200_Score-to-Score_Parameters.htm;Wss1;W+Wlc+2*C90Y-GLC
0200;0200_Score-to-Score_Parameters.htm;Hss;H+Hlc+HC90X
0200;0200_Slot_Parameters.htm;SE;2
0200;0200_Slot_Parameters.htm;SW;SlotWidth(d())
0200;0200_Slot_Parameters.htm;SW2;SW/2
0200;0200_Slot_Parameters.htm;EdgeType;Flat
0200;0200_Slot_Parameters.htm;ExtL;3
0200;0200_Slot_Parameters.htm;SW1;SW/2
0200;0200_Slot_Parameters.htm;DxCh;SW1
0200;0200_Slot_Parameters.htm;ChL;3
0201;0201_Corrections_Parameters.htm;C90X;C90x(d(),fd(),DT)
0201;0201_Corrections_Parameters.htm;C90Y;C90y(d(),fd(),DT)
0201;0201_Corrections_Parameters.htm;HC90X;HC90x(d(), fd(), DT)
0201;0201_Corrections_Parameters.htm;GLC;GlueCorr(d())
0201;0201_Corrections_Parameters.htm;LPC;LPCorr(d())
0201;0201_Flaps_Parameters.htm;FH;(W+Wlc)/2+C90X
0201;0201_Flaps_Parameters.htm;CT1;2
0201;0201_Flaps_Parameters.htm;DxTB1;2
0201;0201_Flaps_Parameters.htm;FH1;FH+UL*LSC
0201;0201_Flaps_Parameters.htm;CT2;3
0201;0201_Flaps_Parameters.htm;DxTB;5
0201;0201_Flaps_Parameters.htm;DxTB2;3
0201;0201_Glue_Flap_Parameters.htm;GL;GLWidth(d())
0201;0201_Glue_Flap_Parameters.htm;GLA;65
0201;0201_Glue_Flap_Parameters.htm;GLA1;65
0201;0201_Layers_Parameters.htm;HILN;0
0201;0201_Layers_Parameters.htm;HOLN;switch(UL, No, 0, Yes, 2)
0201;0201_Layers_Parameters.htm;WILN;0
0201;0201_Layers_Parameters.htm;WOLN;0
0201;0201_Layers_Parameters.htm;LILN;0
0201;0201_Layers_Parameters.htm;LOLN;0
0201;0201_Layers_Parameters.htm;LSC;LSCf(d())
0201;0201_Layers_Parameters.htm;Wlc;LC(d(),DT,WILN,WOLN)
0201;0201_Layers_Parameters.htm;Llc;LC(d(),DT,LILN,LOLN)
0201;0201_Layers_Parameters.htm;Hlc;LC(d(),DT,HILN,HOLN)
0201;0201_Main_Parameters.htm;L;280
0201;0201_Main_Parameters.htm;W;200
0201;0201_Main_Parameters.htm;H;150
0201;0201_Main_Parameters.htm;DT;dtID
0201;0201_Main_Parameters.htm;UL;No
0201;0201_Score-to-Score_Parameters.htm;Lss1;L+Llc+2*C90Y-GLC
0201;0201_Score-to-Score_Parameters.htm;Wss;W+2*C90Y
0201;0201_Score-to-Score_Parameters.htm;Lss;L+2*C90Y
0201;0201_Score-to-Score_Parameters.htm;Wss1;W+Wlc+2*C90Y-GLC
0201;0201_Score-to-Score_Parameters.htm;Hss;H+Hlc+2*HC90X
0201;0201_Slot_Parameters.htm;SE;2
0201;0201_Slot_Parameters.htm;SW;SlotWidth(d())
0201;0201_Slot_Parameters.htm;SW2;SW/2
0201;0201_Slot_Parameters.htm;EdgeType;Flat
0201;0201_Slot_Parameters.htm;ChL;3
0201;0201_Slot_Parameters.htm;SW1;SW/2
0201;0201_Slot_Parameters.htm;DxCh;SW1
0201;0201_Slot_Parameters.htm;ExtL;3
0202;0202_Corrections_Parameters.htm;C90X;C90x(d(),fd(),DT)
0202;0202_Corrections_Parameters.htm;C90Y;C90y(d(),fd(),DT)
0202;0202_Corrections_Parameters.htm;HC90X;HC90x(d(), fd(), DT)
0202;0202_Corrections_Parameters.htm;GLC;GlueCorr(d())
0202;0202_Corrections_Parameters.htm;LPC;LPCorr(d())
0202;0202_Flaps_Parameters.htm;FE;20
0202;0202_Flaps_Parameters.htm;FH;(W+Wlc)/2+FE+C90X
0202;0202_Flaps_Parameters.htm;CT1;2
0202;0202_Flaps_Parameters.htm;DxTB1;2
0202;0202_Flaps_Parameters.htm;FH1;FH+UL*LSC
0202;0202_Flaps_Parameters.htm;CT2;3
0202;0202_Flaps_Parameters.htm;DxTB;5
0202;0202_Flaps_Parameters.htm;DxTB2;3
0202;0202_Glue_Flap_Parameters.htm;GL;GLWidth(d())
0202;0202_Glue_Flap_Parameters.htm;GLA;65
0202;0202_Layers_Parameters.htm;LSC;LSCf(d())
0202;0202_Layers_Parameters.htm;Wlc;LC(d(),DT,WILN,WOLN)
0202;0202_Layers_Parameters.htm;LILN;0
0202;0202_Layers_Parameters.htm;LOLN;0
0202;0202_Layers_Parameters.htm;HILN;0
0202;0202_Layers_Parameters.htm;HOLN;switch(UL, No, 0, Yes, 2)
0202;0202_Layers_Parameters.htm;WILN;0
0202;0202_Layers_Parameters.htm;WOLN;0
0202;0202_Layers_Parameters.htm;Llc;LC(d(), DT, LILN, LOLN)
0202;0202_Layers_Parameters.htm;Hlc;LC(d(),DT,HILN,HOLN)
